CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,TRAFFIC_CONTROL_DEVICE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_TOTAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,BEAT_OF_OCCURRENCE,STREET_NAME,LATITUDE,LONGITUDE,DATE_POLICE_NOTIFIED,year
CR00000017,07/23/2019 03:30:00 PM,15,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO REDUCE SPEED,DISREGARDING TRAFFIC SIGNALS,0,0,0,0,15,3,7,2376,63RD ST,41.820312,-87.829478,07/23/2019 04:19:00 PM,2019
CR00000018,01/21/2023 03:09:00 PM,40,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,NO CONTROLS,IMPROPER LANE USAGE,IMPROPER OVERTAKING/PASSING,0,0,0,0,15,7,1,2159,OGDEN AVE,41.76531,-87.829531,01/21/2023 04:44:00 PM,2023
CR00000019,10/06/2016 03:32:00 AM,30,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STOP SIGN/FLASHER,IMPROPER LANE USAGE,UNABLE TO DETERMINE,0,0,0,0,3,5,10,435,DAMEN AVE,41.755747,-87.641738,10/06/2016 04:59:00 AM,2016
CR00000020,05/16/2022 04:36:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STOP SIGN/FLASHER,DISTRACTION - FROM INSIDE VEHICLE,FOLLOWING TOO CLOSELY,0,0,0,0,16,2,5,1972,MILWAUKEE AVE,41.980412,-87.778509,05/16/2022 06:08:00 PM,2022
CR00000021,06/07/2023 04:00:00 AM,40,CLEAR,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,NOT DIVIDED,TRAFFIC SIGNAL,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,4,4,6,1100,ARCHER AVE,41.999536,-87.501366,06/07/2023 04:10:00 AM,2023
CR00000022,03/13/2018 07:28:00 AM,20,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,YIELD,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,0,0,3,3,7,3,3,1215,CLARK ST,41.702347,-87.564014,03/13/2018 08:07:00 AM,2018
CR00000023,10/13/2021 08:45:00 AM,35,CLEAR,DAYLIGHT,REAR END,FOUR WAY,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,0,0,0,0,8,4,10,114,MILWAUKEE AVE,41.906249,-87.551481,10/13/2021 09:50:00 AM,2021
CR00000024,08/25/2023 07:40:00 AM,25,CLEAR,DAYLIGHT,TURNING,ONE-WAY,STOP SIGN/FLASHER,UNABLE TO DETERMINE,FAILING TO YIELD RIGHT-OF-WAY,0,0,2,2,7,6,8,622,PULASKI RD,41.868272,-87.810844,08/25/2023 09:34:00 AM,2023
CR00000025,06/16/2018 12:57:00 PM,40,CLEAR,DARKNESS - LIGHTED ROAD,REAR TO FRONT,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,NOT APPLICABLE,0,1,1,2,12,7,6,825,DAMEN AVE,41.90462,-87.616573,06/16/2018 01:43:00 PM,2018
CR00000026,04/12/2015 08:47:00 AM,35,CLEAR,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,FOLLOWING TOO CLOSELY,0,0,1,1,8,1,4,1032,MICHIGAN AVE,41.780042,-87.574419,04/12/2015 09:01:00 AM,2015
CR00000027,04/07/2015 06:12:00 PM,30,CLEAR,DARKNESS - LIGHTED ROAD,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,FOLLOWING TOO CLOSELY,0,0,0,0,18,3,4,213,ASHLAND AVE,41.783581,-87.825703,04/07/2015 07:51:00 PM,2015
CR00000028,11/01/2024 09:11:00 AM,35,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,0,0,0,0,9,6,11,1677,FULLERTON AVE,41.995065,-87.83661,11/01/2024 10:28:00 AM,2024
CR00000029,02/17/2017 09:02:00 AM,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,DISTRACTION - FROM INSIDE VEHICLE,FOLLOWING TOO CLOSELY,0,0,0,0,9,6,2,610,ROOSEVELT RD,41.700507,-87.526049,02/17/2017 10:11:00 AM,2017
CR00000030,05/15/2018 03:19:00 PM,25,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,0,0,0,0,15,3,5,812,DIVISION ST,41.797855,-87.605977,05/15/2018 04:30:00 PM,2018
CR00000031,05/20/2021 10:25:00 AM,45,RAIN,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,IMPROPER OVERTAKING/PASSING,FAILING TO REDUCE SPEED,0,0,0,0,10,5,5,975,OGDEN AVE,41.700122,-87.74958,05/20/2021 11:21:00 AM,2021
CR00000032,04/22/2020 08:57:00 PM,20,FOG/SMOKE/HAZE,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,1,1,20,4,4,200,PULASKI RD,41.854636,-87.628471,04/22/2020 09:40:00 PM,2020
CR00000033,09/29/2017 03:39:00 PM,35,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,0,0,3,3,15,6,9,536,IRVING PARK RD,41.758331,-87.606276,09/29/2017 04:43:00 PM,2017
CR00000034,10/08/2019 08:11:00 AM,25,CLEAR,DARKNESS,ANGLE,ONE-WAY,STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,DISREGARDING TRAFFIC SIGNALS,0,0,3,3,8,3,10,1912,DIVISION ST,41.774759,-87.553082,10/08/2019 09:10:00 AM,2019
CR00000035,02/21/2024 07:57:00 PM,25,CLOUDY/OVERCAST,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,YIELD,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,0,0,0,19,4,2,1235,IRVING PARK RD,41.949171,-87.658245,02/21/2024 09:52:00 PM,2024
CR00000036,09/21/2023 03:31:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,NO CONTROLS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,15,5,9,1047,BROADWAY,41.782379,-87.822881,09/21/2023 04:08:00 PM,2023
CR00000037,10/13/2022 07:45:00 AM,35,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),PEDESTRIAN CROSSING SIGN,IMPROPER LANE USAGE,FAILING TO REDUCE SPEED,0,0,0,0,7,5,10,180,IRVING PARK RD,41.82446,-87.734192,10/13/2022 08:45:00 AM,2022
CR00000038,06/16/2021 12:30:00 PM,35,CLEAR,DUSK,REAR TO FRONT,ONE-WAY,STOP SIGN/FLASHER,UNABLE TO DETERMINE,IMPROPER OVERTAKING/PASSING,0,0,0,0,12,4,6,998,STATE ST,41.805528,-87.586284,06/16/2021 02:20:00 PM,2021
CR00000039,11/21/2019 03:01:00 PM,25,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,0,0,0,0,15,5,11,2411,63RD ST,41.900662,-87.57065,11/21/2019 04:34:00 PM,2019
CR00000040,04/22/2015 05:41:00 AM,35,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,WEATHER,NOT APPLICABLE,0,0,0,0,5,4,4,1652,STATE ST,41.960055,-87.786395,04/22/2015 06:15:00 AM,2015
CR00000041,06/08/2023 11:26:00 PM,15,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,PEDESTRIAN CROSSING SIGN,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,0,0,23,5,6,227,MICHIGAN AVE,41.724572,-87.843216,06/09/2023 12:36:00 AM,2023
CR00000042,03/27/2017 11:01:00 PM,45,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,PEDESTRIAN CROSSING SIGN,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,0,0,23,2,3,569,IRVING PARK RD,41.771563,-87.684254,03/27/2017 11:16:00 PM,2017
CR00000043,03/09/2024 07:19:00 AM,35,CLEAR,DARKNESS,REAR END,NOT DIVIDED,STOP SIGN/FLASHER,FAILING TO REDUCE SPEED,NOT APPLICABLE,0,0,0,0,7,7,3,1094,ASHLAND AVE,41.707704,-87.740815,03/09/2024 08:46:00 AM,2024
CR00000044,10/26/2022 08:19:00 PM,20,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,NOT DIVIDED,TRAFFIC SIGNAL,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,0,2,0,2,20,4,10,1875,ARCHER AVE,41.804161,-87.700068,10/26/2022 09:07:00 PM,2022
CR00000045,02/16/2022 11:29:00 PM,30,RAIN,DARKNESS - LIGHTED ROAD,REAR TO FRONT,ONE-WAY,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,0,0,0,0,23,4,2,2526,STATE ST,41.830646,-87.593172,02/17/2022 12:53:00 AM,2022
CR00000046,08/13/2018 09:53:00 AM,15,CLEAR,DAYLIGHT,REAR END,ONE-WAY,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,0,0,2,2,9,2,8,1158,MILWAUKEE AVE,41.870955,-87.616134,08/13/2018 10:37:00 AM,2018
CR00000047,02/19/2018 05:44:00 PM,40,FOG/SMOKE/HAZE,DAYLIGHT,FIXED OBJECT,ONE-WAY,STOP SIGN/FLASHER,FAILING TO REDUCE SPEED,IMPROPER OVERTAKING/PASSING,0,0,1,1,17,2,2,1935,WESTERN AVE,41.725684,-87.597974,02/19/2018 06:47:00 PM,2018
CR00000048,01/17/2016 10:14:00 AM,35,RAIN,DARKNESS - LIGHTED ROAD,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),YIELD,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,FOLLOWING TOO CLOSELY,0,0,0,0,10,1,1,1541,47TH ST,41.772992,-87.617614,01/17/2016 11:02:00 AM,2016
CR00000049,02/02/2020 09:19:00 AM,40,FOG/SMOKE/HAZE,DARKNESS,REAR END,NOT DIVIDED,NO CONTROLS,DISREGARDING TRAFFIC SIGNALS,IMPROPER OVERTAKING/PASSING,0,0,0,0,9,1,2,1232,ROOSEVELT RD,41.736197,-87.782595,02/02/2020 09:35:00 AM,2020
CR00000050,08/11/2021 08:33:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,UNKNOWN,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,0,0,0,0,20,4,8,1223,PULASKI RD,41.994153,-87.55858,08/11/2021 09:11:00 PM,2021
CR00000051,08/12/2015 04:18:00 PM,20,CLEAR,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,ONE-WAY,TRAFFIC SIGNAL,IMPROPER OVERTAKING/PASSING,FOLLOWING TOO CLOSELY,0,0,0,0,16,4,8,855,PULASKI RD,41.737884,-87.546039,08/12/2015 05:21:00 PM,2015
CR00000052,10/31/2017 03:07:00 PM,20,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,TRAFFIC SIGNAL,IMPROPER LANE USAGE,IMPROPER LANE USAGE,0,0,1,1,15,3,10,1024,IRVING PARK RD,41.744759,-87.653006,10/31/2017 03:46:00 PM,2017
CR00000053,11/10/2020 12:28:00 PM,20,FOG/SMOKE/HAZE,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,NO CONTROLS,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,0,0,2,2,12,3,11,743,MICHIGAN AVE,41.791614,-87.63264,11/10/2020 01:47:00 PM,2020
CR00000054,12/12/2016 04:04:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,FAILING TO REDUCE SPEED,NOT APPLICABLE,0,0,0,0,16,2,12,1959,CICERO AVE,41.822555,-87.60872,12/12/2016 05:05:00 PM,2016
CR00000055,09/16/2022 08:59:00 AM,30,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STOP SIGN/FLASHER,UNABLE TO DETERMINE,NOT APPLICABLE,0,0,0,0,8,6,9,1188,HALSTED ST,41.937374,-87.643574,09/16/2022 10:42:00 AM,2022
CR00000056,10/20/2015 03:10:00 AM,35,CLEAR,DARKNESS - LIGHTED ROAD,ANGLE,ONE-WAY,TRAFFIC SIGNAL,UNABLE TO DETERMINE,IMPROPER LANE USAGE,0,0,1,1,3,3,10,263,DAMEN AVE,41.831746,-87.685956,10/20/2015 03:49:00 AM,2015
CR00000057,03/28/2023 11:38:00 AM,45,RAIN,DAYLIGHT,REAR TO FRONT,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,IMPROPER LANE USAGE,UNABLE TO DETERMINE,0,0,0,0,11,3,3,817,LAKE SHORE DR,41.727398,-87.513331,03/28/2023 01:26:00 PM,2023
CR00000058,10/26/2020 05:28:00 PM,30,CLEAR,DARKNESS,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED,0,0,2,2,17,2,10,2129,CLARK ST,41.990717,-87.685496,10/26/2020 06:21:00 PM,2020
CR00000059,06/06/2022 01:52:00 PM,30,CLEAR,DAWN,TURNING,ONE-WAY,NO CONTROLS,DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,0,0,0,0,13,2,6,2322,CALIFORNIA AVE,41.711009,-87.819179,06/06/2022 02:25:00 PM,2022
CR00000060,08/20/2019 03:12:00 AM,15,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,NO CONTROLS,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,0,0,0,0,3,3,8,2085,ASHLAND AVE,41.88679,-87.675527,08/20/2019 04:09:00 AM,2019
CR00000061,04/29/2015 05:38:00 PM,20,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO REDUCE SPEED,FOLLOWING TOO CLOSELY,0,0,3,3,17,4,4,2184,47TH ST,41.822397,-87.771355,04/29/2015 07:26:00 PM,2015
CR00000062,01/24/2018 01:53:00 PM,35,CLEAR,DARKNESS - LIGHTED ROAD,ANGLE,T-INTERSECTION,NO CONTROLS,UNABLE TO DETERMINE,FOLLOWING TOO CLOSELY,0,0,0,0,13,4,1,1799,MILWAUKEE AVE,41.841666,-87.690125,01/24/2018 02:12:00 PM,2018
CR00000063,11/01/2023 03:17:00 PM,35,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,WEATHER,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,0,2,3,5,15,4,11,1645,CALIFORNIA AVE,41.999671,-87.678626,11/01/2023 03:37:00 PM,2023
CR00000064,08/11/2018 08:44:00 AM,15,CLEAR,DUSK,ANGLE,DIVIDED - W/MEDIAN BARRIER,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,DISTRACTION - FROM INSIDE VEHICLE,0,0,0,0,8,7,8,723,LAKE SHORE DR,41.814891,-87.550395,08/11/2018 09:37:00 AM,2018
CR00000065,06/01/2015 07:32:00 AM,25,CLEAR,DARKNESS - LIGHTED ROAD,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,0,1,0,1,7,2,6,1728,79TH ST,41.857785,-87.690075,06/01/2015 09:05:00 AM,2015
CR00000066,11/25/2015 11:54:00 AM,35,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,NO CONTROLS,DISTRACTION - FROM INSIDE VEHICLE,FAILING TO REDUCE SPEED,0,0,0,0,11,4,11,1277,MICHIGAN AVE,41.860087,-87.516051,11/25/2015 01:15:00 PM,2015
CR00000067,05/17/2023 05:27:00 AM,15,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,TRAFFIC SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,0,0,1,1,5,4,5,696,MICHIGAN AVE,41.833104,-87.6071,05/17/2023 07:23:00 AM,2023
CR00000068,12/15/2020 01:36:00 PM,35,RAIN,DARKNESS,SIDESWIPE SAME DIRECTION,ONE-WAY,STOP SIGN/FLASHER,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,0,0,0,13,3,12,1988,79TH ST,41.754017,-87.788726,12/15/2020 02:55:00 PM,2020
CR00000069,11/06/2017 02:16:00 PM,40,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,FOLLOWING TOO CLOSELY,DISTRACTION - FROM INSIDE VEHICLE,0,0,0,0,14,2,11,1837,47TH ST,41.969673,-87.687161,11/06/2017 02:53:00 PM,2017
CR00000070,10/21/2017 02:54:00 PM,30,CLEAR,DARKNESS - LIGHTED ROAD,TURNING,ONE-WAY,NO CONTROLS,FAILING TO REDUCE SPEED,FOLLOWING TOO CLOSELY,0,0,0,0,14,7,10,189,63RD ST,41.999812,-87.551333,10/21/2017 03:08:00 PM,2017
CR00000071,06/10/2019 10:00:00 AM,45,CLOUDY/OVERCAST,DARKNESS - LIGHTED ROAD,SIDESWIPE SAME DIRECTION,T-INTERSECTION,NO CONTROLS,IMPROPER LANE USAGE,NOT APPLICABLE,0,0,0,0,10,2,6,1543,MICHIGAN AVE,41.90574,-87.589366,06/10/2019 10:07:00 AM,2019
CR00000072,02/20/2022 08:39:00 AM,25,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,FOUR WAY,NO CONTROLS,FOLLOWING TOO CLOSELY,NOT APPLICABLE,0,0,0,0,8,1,2,1905,PULASKI RD,41.926673,-87.581385,02/20/2022 10:07:00 AM,2022
CR00000073,07/01/2021 12:46:00 PM,25,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),TRAFFIC SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,0,0,0,0,12,5,7,1216,STONY ISLAND AVE,41.972888,-87.735648,07/01/2021 01:40:00 PM,2021
CR00000074,11/18/2017 10:30:00 PM,30,SNOW,DUSK,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,1,1,22,7,11,1716,WESTERN AVE,41.840499,-87.823645,11/19/2017 12:07:00 AM,2017
CR00000075,12/19/2017 04:07:00 PM,35,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,0,0,0,0,16,3,12,2399,MILWAUKEE AVE,41.901849,-87.614681,12/19/2017 05:22:00 PM,2017
CR00000076,11/03/2021 08:41:00 AM,35,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,NO CONTROLS,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,0,0,0,0,8,4,11,498,MICHIGAN AVE,41.947157,-87.531714,11/03/2021 09:20:00 AM,2021
CR00000077,12/13/2024 04:08:00 PM,40,CLEAR,DARKNESS - LIGHTED ROAD,REAR TO FRONT,DIVIDED - W/MEDIAN BARRIER,NO CONTROLS,FAILING TO YIELD RIGHT-OF-WAY,DISTRACTION - FROM INSIDE VEHICLE,0,0,0,0,16,6,12,505,LAKE SHORE DR,41.811303,-87.517717,12/13/2024 05:38:00 PM,2024
CR00000078,11/26/2021 01:17:00 PM,30,CLEAR,DARKNESS,TURNING,ONE-WAY,STOP SIGN/FLASHER,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,0,0,0,0,13,6,11,1730,STATE ST,41.811159,-87.694816,11/26/2021 01:48:00 PM,2021
CR00000079,02/16/2017 07:54:00 AM,45,CLEAR,DAYLIGHT,REAR TO FRONT,ONE-WAY,NO CONTROLS,IMPROPER LANE USAGE,UNABLE TO DETERMINE,0,2,0,2,7,5,2,1054,MILWAUKEE AVE,41.715174,-87.733272,02/16/2017 08:11:00 AM,2017
